id	variables	units	description	schema
1	subject	N/A	Id of the subject of the experiment	N/A
2	activity	N/A	Activity performed by subject	N/A
3	time-body-acceleration-mean-x	g (9.8m/s^2)	Average by subject and activity of the variable "mean of 128 readings of body motion acceleration in axis X in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level is the statistic measured (mean or standard deviation), fifth level is the axis.
4	time-body-acceleration-mean-y	g (9.8m/s^2)	Average by subject and activity of the variable "mean of 128 readings of body motion acceleration in axis Y in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level is the statistic measured (mean or standard deviation), fifth level is the axis.
5	time-body-acceleration-mean-z	g (9.8m/s^2)	Average by subject and activity of the variable "mean of 128 readings of body motion acceleration in axis Z in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level is the statistic measured (mean or standard deviation), fifth level is the axis.
6	time-gravity-acceleration-mean-x	g (9.8m/s^2)	Average by subject and activity of the variable "mean of 128 readings of gravitational acceleration in axis X in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level is the statistic measured (mean or standard deviation), fifth level is the axis.
7	time-gravity-acceleration-mean-y	g (9.8m/s^2)	Average by subject and activity of the variable "mean of 128 readings of gravitational acceleration in axis Y in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level is the statistic measured (mean or standard deviation), fifth level is the axis.
8	time-gravity-acceleration-mean-z	g (9.8m/s^2)	Average by subject and activity of the variable "mean of 128 readings of gravitational acceleration in axis Z in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level is the statistic measured (mean or standard deviation), fifth level is the axis.
9	time-body-acceleration-jerk-mean-x	g (9.8m/s^2)	Average by subject and activity of the variable "mean of 128 readings of body motion acceleration jerk in axis X in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level specifies it is jerk, fifth level is the statistic measured (mean or standard deviation), sixth level is the axis.
10	time-body-acceleration-jerk-mean-y	g (9.8m/s^2)	Average by subject and activity of the variable "mean of 128 readings of body motion acceleration jerk in axis Y in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level specifies it is jerk, fifth level is the statistic measured (mean or standard deviation), sixth level is the axis.
11	time-body-acceleration-jerk-mean-z	g (9.8m/s^2)	Average by subject and activity of the variable "mean of 128 readings of body motion acceleration jerk in axis Z in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level specifies it is jerk, fifth level is the statistic measured (mean or standard deviation), sixth level is the axis.
12	time-body-angularvelocity-mean-x	rad/m^2	Average by subject and activity of the variable "mean of 128 readings of body motion angular velocity in axis X in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level is the statistic measured (mean or standard deviation), fifth level is the axis.
13	time-body-angularvelocity-mean-y	rad/m^2	Average by subject and activity of the variable "mean of 128 readings of body motion angular velocity in axis Y in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level is the statistic measured (mean or standard deviation), fifth level is the axis.
14	time-body-angularvelocity-mean-z	rad/m^2	Average by subject and activity of the variable "mean of 128 readings of body motion angular velocity in axis Z in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level is the statistic measured (mean or standard deviation), fifth level is the axis.
15	time-body-angularvelocity-jerk-mean-x	rad/m^2	Average by subject and activity of the variable "mean of 128 readings of body motion angular velocity jerk in axis X in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level specifies it is jerk, fifth level is the statistic measured (mean or standard deviation), sixth level is the axis.
16	time-body-angularvelocity-jerk-mean-y	rad/m^2	Average by subject and activity of the variable "mean of 128 readings of body motion angular velocity jerk in axis Y in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level specifies it is jerk, fifth level is the statistic measured (mean or standard deviation), sixth level is the axis.
17	time-body-angularvelocity-jerk-mean-z	rad/m^2	Average by subject and activity of the variable "mean of 128 readings of body motion angular velocity jerk in axis Z in the time domain (normalized between -1 and 1)"	First level is the domain of the variable (frequency or time), second level indicates the component (body motion or gravitational), third level is the physics concept measured (acceleration or angular velocity), fourth level specifies it is jerk, fifth level is the statistic measured (mean or standard deviation), sixth level is the axis.
